id,sentence,tokens,labels
334,Bắp cải có bao nhiêu kali?,bắp_cải có bao_nhiêu kali ?,B-FOOD O O B-NUTRIENT O
335,Chuối có bao nhiêu tinh bột?,Chuối có bao_nhiêu tinh_bột ?,B-FOOD O O B-NUTRIENT O
336,Chuối có bao nhiêu vitamin D?,Chuối có bao_nhiêu vitamin_D ?,B-FOOD O O B-NUTRIENT O
337,Cá ba sa giàu sắt không?,cá_ba_sa giàu sắt không ?,B-FOOD O B-NUTRIENT O O
338,Hạt hạnh nhân giàu sắt không?,hạt_hạnh_nhân giàu sắt không ?,B-FOOD O B-NUTRIENT O O
339,Rau muống giàu protein không?,Rau_muống giàu protein không ?,B-FOOD O B-NUTRIENT O O
340,Rau muống giàu vitamin B12 không?,Rau_muống giàu vitamin_B12 không ?,B-FOOD O B-NUTRIENT O O
341,Cá ba sa chứa bao nhiêu tinh bột?,cá_ba_sa chứa bao_nhiêu tinh_bột ?,B-FOOD O O B-NUTRIENT O
342,Rau muống chứa bao nhiêu tinh bột?,rau_muống chứa bao_nhiêu tinh_bột ?,B-FOOD O O B-NUTRIENT O
343,Khoai lang chứa bao nhiêu folate?,Khoai_lang chứa bao_nhiêu folate ?,B-FOOD O O B-NUTRIENT O
344,Khoai lang chứa bao nhiêu omega-3?,Khoai_lang chứa bao_nhiêu omega-3 ?,B-FOOD O O B-NUTRIENT O
345,Táo có nhiều chất xơ không?,táo có nhiều chất_xơ không ?,B-FOOD O O B-NUTRIENT O O
346,Yến mạch có nhiều chất xơ không?,yến_mạch có nhiều chất_xơ không ?,B-FOOD O O B-NUTRIENT O O
347,Gạo lứt có nhiều sắt không?,Gạo_lứt có nhiều sắt không ?,B-FOOD O O B-NUTRIENT O O
348,Gạo lứt có nhiều kali không?,Gạo_lứt có nhiều kali không ?,B-FOOD O O B-NUTRIENT O O
349,Folate trong cam là bao nhiêu mg?,folate trong cam là bao_nhiêu mg ?,B-NUTRIENT O B-FOOD O O O O
350,Vitamin D trong cam là bao nhiêu mg?,vitamin_D trong cam là bao_nhiêu mg ?,B-NUTRIENT O B-FOOD O O O O
351,Vitamin C trong trứng gà là bao nhiêu mg?,Vitamin_C trong trứng_gà là bao_nhiêu mg ?,B-NUTRIENT O B-FOOD O O O O
352,Vitamin C trong thịt bò là bao nhiêu mg?,Vitamin_C trong thịt_bò là bao_nhiêu mg ?,B-NUTRIENT O B-FOOD O O O O
353,Cà chua có nhiều omega-3 hơn cá hồi không?,cà_chua có nhiều omega-3 hơn cá_hồi không ?,B-FOOD O O B-NUTRIENT O B-FOOD O O
354,Trứng gà có nhiều omega-3 hơn cá hồi không?,trứng_gà có nhiều omega-3 hơn cá_hồi không ?,B-FOOD O O B-NUTRIENT O B-FOOD O O
355,Óc chó có nhiều vitamin D hơn cá hồi không?,Óc_chó có nhiều vitamin_D hơn cá_hồi không ?,B-FOOD O O B-NUTRIENT O B-FOOD O O
356,Óc chó có nhiều natri hơn cá hồi không?,Óc_chó có nhiều natri hơn cá_hồi không ?,B-FOOD O O B-NUTRIENT O B-FOOD O O
357,Óc chó có nhiều omega-3 hơn sữa chua không?,Óc_chó có nhiều omega-3 hơn sữa_chua không ?,B-FOOD O O B-NUTRIENT O B-FOOD O O
358,Óc chó có nhiều omega-3 hơn chuối không?,Óc_chó có nhiều omega-3 hơn chuối không ?,B-FOOD O O B-NUTRIENT O B-FOOD O O
359,Hàm lượng vitamin B12 trong rau cải là bao nhiêu?,Hàm_lượng vitamin_B12 trong rau_cải là bao_nhiêu ?,O B-NUTRIENT O B-FOOD O O O
360,Hàm lượng protein trong rau cải là bao nhiêu?,Hàm_lượng protein trong rau_cải là bao_nhiêu ?,O B-NUTRIENT O B-FOOD O O O
361,Hàm lượng sắt trong dưa hấu là bao nhiêu?,Hàm_lượng sắt trong dưa_hấu là bao_nhiêu ?,O B-NUTRIENT O B-FOOD O O O
362,Hàm lượng sắt trong bắp cải là bao nhiêu?,Hàm_lượng sắt trong bắp_cải là bao_nhiêu ?,O B-NUTRIENT O B-FOOD O O O
363,Óc chó có nhiều protein không?,óc_chó có nhiều protein không ?,B-FOOD O O B-NUTRIENT O O
364,Trứng gà có nhiều protein không?,trứng_gà có nhiều protein không ?,B-FOOD O O B-NUTRIENT O O
365,Thịt heo có nhiều chất xơ không?,Thịt_heo có nhiều chất_xơ không ?,B-FOOD O O B-NUTRIENT O O
366,Thịt heo có nhiều sắt không?,Thịt_heo có nhiều sắt không ?,B-FOOD O O B-NUTRIENT O O
367,Óc chó chứa nhiều chất béo lành mạnh không?,óc_chó chứa nhiều chất_béo lành_mạnh không ?,B-FOOD O O B-NUTRIENT O O O
368,Chuối chứa nhiều chất béo lành mạnh không?,chuối chứa nhiều chất_béo lành_mạnh không ?,B-FOOD O O B-NUTRIENT O O O
369,Bơ chứa nhiều natri lành mạnh không?,Bơ chứa nhiều natri lành_mạnh không ?,B-FOOD O O B-NUTRIENT O O O
370,Bơ chứa nhiều tinh bột lành mạnh không?,Bơ chứa nhiều tinh_bột lành_mạnh không ?,B-FOOD O O B-NUTRIENT O O O
371,Đậu xanh cung cấp canxi và protein không?,đậu_xanh cung_cấp canxi và protein không ?,B-FOOD O B-NUTRIENT O B-NUTRIENT O O
372,Rau chân vịt cung cấp canxi và protein không?,rau_chân_vịt cung_cấp canxi và protein không ?,B-FOOD O B-NUTRIENT O B-NUTRIENT O O
373,Sữa chua cung cấp natri và protein không?,Sữa_chua cung_cấp natri và protein không ?,B-FOOD O B-NUTRIENT O B-NUTRIENT O O
374,Sữa chua cung cấp omega-3 và protein không?,Sữa_chua cung_cấp omega-3 và protein không ?,B-FOOD O B-NUTRIENT O B-NUTRIENT O O
375,Sữa chua cung cấp canxi và tinh bột không?,Sữa_chua cung_cấp canxi và tinh_bột không ?,B-FOOD O B-NUTRIENT O B-NUTRIENT O O
376,Sữa chua cung cấp canxi và vitamin C không?,Sữa_chua cung_cấp canxi và vitamin_C không ?,B-FOOD O B-NUTRIENT O B-NUTRIENT O O
377,100g bơ có bao nhiêu calo?,100g bơ có bao_nhiêu calo ?,O B-FOOD O O B-NUTRIENT O
378,100g thịt bò có bao nhiêu calo?,100g thịt_bò có bao_nhiêu calo ?,O B-FOOD O O B-NUTRIENT O
379,100g cá ba sa có bao nhiêu protein?,100g cá_ba_sa có bao_nhiêu protein ?,O B-FOOD O O B-NUTRIENT O
380,100g cá ba sa có bao nhiêu tinh bột?,100g cá_ba_sa có bao_nhiêu tinh_bột ?,O B-FOOD O O B-NUTRIENT O
381,Gạo lứt có nhiều chất xơ và protein không?,gạo_lứt có nhiều chất_xơ và protein không ?,B-FOOD O O B-NUTRIENT O B-NUTRIENT O O
382,Thịt heo có nhiều chất xơ và protein không?,thịt_heo có nhiều chất_xơ và protein không ?,B-FOOD O O B-NUTRIENT O B-NUTRIENT O O
383,Yến mạch có nhiều vitamin C và protein không?,Yến_mạch có nhiều vitamin_C và protein không ?,B-FOOD O O B-NUTRIENT O B-NUTRIENT O O
384,Yến mạch có nhiều canxi và protein không?,Yến_mạch có nhiều canxi và protein không ?,B-FOOD O O B-NUTRIENT O B-NUTRIENT O O
385,Yến mạch có nhiều chất xơ và natri không?,Yến_mạch có nhiều chất_xơ và natri không ?,B-FOOD O O B-NUTRIENT O B-NUTRIENT O O
386,Yến mạch có nhiều chất xơ và vitamin C không?,Yến_mạch có nhiều chất_xơ và vitamin_C không ?,B-FOOD O O B-NUTRIENT O B-NUTRIENT O O
387,Hạt hạnh nhân chứa bao nhiêu vitamin C?,hạt_hạnh_nhân chứa bao_nhiêu vitamin_C ?,B-FOOD O O B-NUTRIENT O
388,Trứng gà chứa bao nhiêu vitamin C?,trứng_gà chứa bao_nhiêu vitamin_C ?,B-FOOD O O B-NUTRIENT O
389,Táo chứa bao nhiêu chất xơ?,Táo chứa bao_nhiêu chất_xơ ?,B-FOOD O O B-NUTRIENT O
390,Táo chứa bao nhiêu vitamin D?,Táo chứa bao_nhiêu vitamin_D ?,B-FOOD O O B-NUTRIENT O
391,Lượng chất xơ trong trứng gà là bao nhiêu?,Lượng chất_xơ trong trứng_gà là bao_nhiêu ?,O B-NUTRIENT O B-FOOD O O O
392,Lượng chất béo trong trứng gà là bao nhiêu?,Lượng chất_béo trong trứng_gà là bao_nhiêu ?,O B-NUTRIENT O B-FOOD O O O
393,Lượng kẽm trong hạt hạnh nhân là bao nhiêu?,Lượng kẽm trong hạt_hạnh_nhân là bao_nhiêu ?,O B-NUTRIENT O B-FOOD O O O
394,Lượng kẽm trong cà chua là bao nhiêu?,Lượng kẽm trong cà_chua là bao_nhiêu ?,O B-NUTRIENT O B-FOOD O O O
395,Rau muống có nhiều vitamin D không?,rau_muống có nhiều vitamin_D không ?,B-FOOD O O B-NUTRIENT O O
396,Bưởi có nhiều vitamin D không?,bưởi có nhiều vitamin_D không ?,B-FOOD O O B-NUTRIENT O O
397,Cà rốt có nhiều omega-3 không?,Cà_rốt có nhiều omega-3 không ?,B-FOOD O O B-NUTRIENT O O
398,Cà rốt có nhiều kali không?,Cà_rốt có nhiều kali không ?,B-FOOD O O B-NUTRIENT O O
399,Sữa giàu magiê không?,sữa giàu magiê không ?,B-FOOD O B-NUTRIENT O O
400,Yến mạch giàu magiê không?,yến_mạch giàu magiê không ?,B-FOOD O B-NUTRIENT O O
401,Hạt điều giàu folate không?,Hạt_điều giàu folate không ?,B-FOOD O B-NUTRIENT O O
402,Hạt điều giàu chất béo không?,Hạt_điều giàu chất_béo không ?,B-FOOD O B-NUTRIENT O O
403,Sữa chua chứa bao nhiêu folate?,sữa_chua chứa bao_nhiêu folate ?,B-FOOD O O B-NUTRIENT O
404,Thịt bò chứa bao nhiêu folate?,thịt_bò chứa bao_nhiêu folate ?,B-FOOD O O B-NUTRIENT O
405,Đậu xanh chứa bao nhiêu kẽm?,Đậu_xanh chứa bao_nhiêu kẽm ?,B-FOOD O O B-NUTRIENT O
406,Đậu xanh chứa bao nhiêu tinh bột?,Đậu_xanh chứa bao_nhiêu tinh_bột ?,B-FOOD O O B-NUTRIENT O
407,Rau muống có nhiều protein không?,rau_muống có nhiều protein không ?,B-FOOD O O B-NUTRIENT O O
408,Óc chó có nhiều protein không?,óc_chó có nhiều protein không ?,B-FOOD O O B-NUTRIENT O O
409,Tôm có nhiều folate không?,Tôm có nhiều folate không ?,B-FOOD O O B-NUTRIENT O O
410,Tôm có nhiều vitamin C không?,Tôm có nhiều vitamin_C không ?,B-FOOD O O B-NUTRIENT O O
411,Rau muống có bao nhiêu calo?,rau_muống có bao_nhiêu calo ?,B-FOOD O O B-NUTRIENT O
412,Bắp cải có bao nhiêu calo?,bắp_cải có bao_nhiêu calo ?,B-FOOD O O B-NUTRIENT O
413,Cà chua có bao nhiêu omega-3?,Cà_chua có bao_nhiêu omega-3 ?,B-FOOD O O B-NUTRIENT O
414,Cà chua có bao nhiêu vitamin C?,Cà_chua có bao_nhiêu vitamin_C ?,B-FOOD O O B-NUTRIENT O
415,Đậu lăng giàu vitamin C không?,đậu_lăng giàu vitamin_C không ?,B-FOOD O B-NUTRIENT O O
416,Sữa chua giàu vitamin C không?,sữa_chua giàu vitamin_C không ?,B-FOOD O B-NUTRIENT O O
417,Bưởi giàu folate không?,Bưởi giàu folate không ?,B-FOOD O B-NUTRIENT O O
418,Bưởi giàu kẽm không?,Bưởi giàu kẽm không ?,B-FOOD O B-NUTRIENT O O
419,Gạo lứt có nhiều đường không?,gạo_lứt có nhiều đường không ?,B-FOOD O O B-NUTRIENT O O
420,Sữa có nhiều đường không?,sữa có nhiều đường không ?,B-FOOD O O B-NUTRIENT O O
421,Nước mía có nhiều vitamin D không?,Nước_mía có nhiều vitamin_D không ?,B-FOOD O O B-NUTRIENT O O
422,Nước mía có nhiều vitamin B12 không?,Nước_mía có nhiều vitamin_B12 không ?,B-FOOD O O B-NUTRIENT O O
423,Thịt heo chứa bao nhiêu nước?,thịt_heo chứa bao_nhiêu nước ?,B-FOOD O O O O
424,Cá hồi chứa bao nhiêu nước?,cá_hồi chứa bao_nhiêu nước ?,B-FOOD O O O O
425,Gạo lứt nướng có ít chất béo hơn thịt bò không?,gạo_lứt nướng có ít chất_béo hơn thịt_bò không ?,B-FOOD O O O B-NUTRIENT O B-FOOD O O
426,Bông cải xanh nướng có ít chất béo hơn thịt bò không?,bông_cải_xanh nướng có ít chất_béo hơn thịt_bò không ?,B-FOOD O O O B-NUTRIENT O B-FOOD O O
427,Ức gà nướng có ít protein hơn thịt bò không?,Ức_gà nướng có ít protein hơn thịt_bò không ?,B-FOOD O O O B-NUTRIENT O B-FOOD O O
428,Ức gà nướng có ít vitamin B12 hơn thịt bò không?,Ức_gà nướng có ít vitamin_B12 hơn thịt_bò không ?,B-FOOD O O O B-NUTRIENT O B-FOOD O O
429,Ức gà nướng có ít chất béo hơn bưởi không?,Ức_gà nướng có ít chất_béo hơn bưởi không ?,B-FOOD O O O B-NUTRIENT O B-FOOD O O
430,Ức gà nướng có ít chất béo hơn cà rốt không?,Ức_gà nướng có ít chất_béo hơn cà_rốt không ?,B-FOOD O O O B-NUTRIENT O B-FOOD O O
431,Lượng vitamin D trong đậu phụ so với thịt heo như thế nào?,Lượng vitamin_D trong đậu_phụ so_với thịt_heo như_thế_nào ?,O B-NUTRIENT O B-FOOD O B-FOOD O O
432,Lượng sắt trong đậu phụ so với thịt heo như thế nào?,Lượng sắt trong đậu_phụ so_với thịt_heo như_thế_nào ?,O B-NUTRIENT O B-FOOD O B-FOOD O O
433,Lượng protein trong gạo lứt so với thịt heo như thế nào?,Lượng protein trong gạo_lứt so_với thịt_heo như_thế_nào ?,O B-NUTRIENT O B-FOOD O B-FOOD O O
434,Lượng protein trong hạt chia so với thịt heo như thế nào?,Lượng protein trong hạt_chia so_với thịt_heo như_thế_nào ?,O B-NUTRIENT O B-FOOD O B-FOOD O O
435,Lượng protein trong đậu phụ so với hạt điều như thế nào?,Lượng protein trong đậu_phụ so_với hạt_điều như_thế_nào ?,O B-NUTRIENT O B-FOOD O B-FOOD O O
436,Lượng protein trong đậu phụ so với đậu lăng như thế nào?,Lượng protein trong đậu_phụ so_với đậu_lăng như_thế_nào ?,O B-NUTRIENT O B-FOOD O B-FOOD O O
437,Bơ có bao nhiêu tinh bột?,bơ có bao_nhiêu tinh_bột ?,B-FOOD O O B-NUTRIENT O
438,Táo có bao nhiêu tinh bột?,táo có bao_nhiêu tinh_bột ?,B-FOOD O O B-NUTRIENT O
439,Khoai tây có bao nhiêu kali?,Khoai_tây có bao_nhiêu kali ?,B-FOOD O O B-NUTRIENT O
440,Khoai tây có bao nhiêu chất béo?,Khoai_tây có bao_nhiêu chất_béo ?,B-FOOD O O B-NUTRIENT O
441,Tôm chứa bao nhiêu vitamin C và chất xơ?,tôm chứa bao_nhiêu vitamin_C và chất_xơ ?,B-FOOD O O B-NUTRIENT O B-NUTRIENT O
442,Cà chua chứa bao nhiêu vitamin C và chất xơ?,cà_chua chứa bao_nhiêu vitamin_C và chất_xơ ?,B-FOOD O O B-NUTRIENT O B-NUTRIENT O
443,Bắp cải chứa bao nhiêu chất béo và chất xơ?,Bắp_cải chứa bao_nhiêu chất_béo và chất_xơ ?,B-FOOD O O B-NUTRIENT O B-NUTRIENT O
444,Bắp cải chứa bao nhiêu magiê và chất xơ?,Bắp_cải chứa bao_nhiêu magiê và chất_xơ ?,B-FOOD O O B-NUTRIENT O B-NUTRIENT O
445,Bắp cải chứa bao nhiêu vitamin C và sắt?,Bắp_cải chứa bao_nhiêu vitamin_C và sắt ?,B-FOOD O O B-NUTRIENT O B-NUTRIENT O
446,Bắp cải chứa bao nhiêu vitamin C và vitamin C?,Bắp_cải chứa bao_nhiêu vitamin_C và vitamin_C ?,B-FOOD O O B-NUTRIENT O B-NUTRIENT O
447,Thành phần dinh dưỡng của đậu phụ là gì?,Thành_phần dinh_dưỡng của đậu_phụ là gì ?,O O O B-FOOD O O O
448,Thành phần dinh dưỡng của gạo lứt là gì?,Thành_phần dinh_dưỡng của gạo_lứt là gì ?,O O O B-FOOD O O O
449,Dưa hấu có nhiều vitamin D không?,dưa_hấu có nhiều vitamin_D không ?,B-FOOD O O B-NUTRIENT O O
450,Óc chó có nhiều vitamin D không?,óc_chó có nhiều vitamin_D không ?,B-FOOD O O B-NUTRIENT O O
451,Cá hồi có nhiều kẽm không?,Cá_hồi có nhiều kẽm không ?,B-FOOD O O B-NUTRIENT O O
452,Cá hồi có nhiều vitamin C không?,Cá_hồi có nhiều vitamin_C không ?,B-FOOD O O B-NUTRIENT O O
453,Ăn thịt heo mỗi ngày bổ sung được bao nhiêu chất béo?,Ăn thịt_heo mỗi ngày bổ_sung được bao_nhiêu chất_béo ?,O B-FOOD O O O O O B-NUTRIENT O
454,Ăn hạt điều mỗi ngày bổ sung được bao nhiêu chất béo?,Ăn hạt_điều mỗi ngày bổ_sung được bao_nhiêu chất_béo ?,O B-FOOD O O O O O B-NUTRIENT O
455,Ăn bơ mỗi ngày bổ sung được bao nhiêu omega-3?,Ăn bơ mỗi ngày bổ_sung được bao_nhiêu omega-3 ?,O B-FOOD O O O O O B-NUTRIENT O
456,Ăn bơ mỗi ngày bổ sung được bao nhiêu kẽm?,Ăn bơ mỗi ngày bổ_sung được bao_nhiêu kẽm ?,O B-FOOD O O O O O B-NUTRIENT O
457,Cà chua có ít calo hơn gạo trắng không?,cà_chua có ít calo hơn gạo_trắng không ?,B-FOOD O O B-NUTRIENT O B-FOOD O O
458,Bưởi có ít calo hơn gạo trắng không?,bưởi có ít calo hơn gạo_trắng không ?,B-FOOD O O B-NUTRIENT O B-FOOD O O
459,Gạo lứt có ít kali hơn gạo trắng không?,Gạo_lứt có ít kali hơn gạo_trắng không ?,B-FOOD O O B-NUTRIENT O B-FOOD O O
460,Gạo lứt có ít sắt hơn gạo trắng không?,Gạo_lứt có ít sắt hơn gạo_trắng không ?,B-FOOD O O B-NUTRIENT O B-FOOD O O
461,Gạo lứt có ít calo hơn cá thu không?,Gạo_lứt có ít calo hơn cá_thu không ?,B-FOOD O O B-NUTRIENT O B-FOOD O O
462,Gạo lứt có ít calo hơn tôm không?,Gạo_lứt có ít calo hơn tôm không ?,B-FOOD O O B-NUTRIENT O B-FOOD O O
463,Thịt bò chứa bao nhiêu vitamin D?,thịt_bò chứa bao_nhiêu vitamin_D ?,B-FOOD O O B-NUTRIENT O
464,Thịt heo chứa bao nhiêu vitamin D?,thịt_heo chứa bao_nhiêu vitamin_D ?,B-FOOD O O B-NUTRIENT O
465,Trứng gà chứa bao nhiêu protein?,Trứng_gà chứa bao_nhiêu protein ?,B-FOOD O O B-NUTRIENT O
466,Trứng gà chứa bao nhiêu canxi?,Trứng_gà chứa bao_nhiêu canxi ?,B-FOOD O O B-NUTRIENT O
467,Sắt trong thịt bò cao hơn rau muống không?,sắt trong thịt_bò cao hơn rau_muống không ?,B-NUTRIENT O B-FOOD O O B-FOOD O O
468,Tinh bột trong thịt bò cao hơn rau muống không?,tinh_bột trong thịt_bò cao hơn rau_muống không ?,B-NUTRIENT O B-FOOD O O B-FOOD O O
469,Sắt trong khoai lang cao hơn rau muống không?,Sắt trong khoai_lang cao hơn rau_muống không ?,B-NUTRIENT O B-FOOD O O B-FOOD O O
470,Sắt trong bông cải xanh cao hơn rau muống không?,Sắt trong bông_cải_xanh cao hơn rau_muống không ?,B-NUTRIENT O B-FOOD O O B-FOOD O O
471,Sắt trong thịt bò cao hơn bơ không?,Sắt trong thịt_bò cao hơn bơ không ?,B-NUTRIENT O B-FOOD O O B-FOOD O O
472,Sắt trong thịt bò cao hơn bắp cải không?,Sắt trong thịt_bò cao hơn bắp_cải không ?,B-NUTRIENT O B-FOOD O O B-FOOD O O
473,Đậu xanh chứa bao nhiêu kẽm?,đậu_xanh chứa bao_nhiêu kẽm ?,B-FOOD O O B-NUTRIENT O
474,Thịt bò chứa bao nhiêu kẽm?,thịt_bò chứa bao_nhiêu kẽm ?,B-FOOD O O B-NUTRIENT O
475,Tôm chứa bao nhiêu omega-3?,Tôm chứa bao_nhiêu omega-3 ?,B-FOOD O O B-NUTRIENT O
476,Tôm chứa bao nhiêu natri?,Tôm chứa bao_nhiêu natri ?,B-FOOD O O B-NUTRIENT O
477,Đậu xanh có nhiều vitamin C không?,đậu_xanh có nhiều vitamin_C không ?,B-FOOD O O B-NUTRIENT O O
478,Bắp cải có nhiều vitamin C không?,bắp_cải có nhiều vitamin_C không ?,B-FOOD O O B-NUTRIENT O O
479,Cà chua có nhiều kẽm không?,Cà_chua có nhiều kẽm không ?,B-FOOD O O B-NUTRIENT O O
480,Cà chua có nhiều vitamin D không?,Cà_chua có nhiều vitamin_D không ?,B-FOOD O O B-NUTRIENT O O
481,Óc chó có bao nhiêu calo?,óc_chó có bao_nhiêu calo ?,B-FOOD O O B-NUTRIENT O
482,Hạt hạnh nhân có bao nhiêu calo?,hạt_hạnh_nhân có bao_nhiêu calo ?,B-FOOD O O B-NUTRIENT O
483,Óc chó có bao nhiêu protein?,Óc_chó có bao_nhiêu protein ?,B-FOOD O O B-NUTRIENT O
484,Óc chó có bao nhiêu tinh bột?,Óc_chó có bao_nhiêu tinh_bột ?,B-FOOD O O B-NUTRIENT O
485,Lượng folate trong sữa chua là bao nhiêu?,Lượng folate trong sữa_chua là bao_nhiêu ?,O B-NUTRIENT O B-FOOD O O O
486,Lượng sắt trong sữa chua là bao nhiêu?,Lượng sắt trong sữa_chua là bao_nhiêu ?,O B-NUTRIENT O B-FOOD O O O
487,Lượng canxi trong bơ là bao nhiêu?,Lượng canxi trong bơ là bao_nhiêu ?,O B-NUTRIENT O B-FOOD O O O
488,Lượng canxi trong đậu lăng là bao nhiêu?,Lượng canxi trong đậu_lăng là bao_nhiêu ?,O B-NUTRIENT O B-FOOD O O O
489,Óc chó có nhiều kali hơn táo không?,óc_chó có nhiều kali hơn táo không ?,B-FOOD O O B-NUTRIENT O B-FOOD O O
490,Thịt heo có nhiều kali hơn táo không?,thịt_heo có nhiều kali hơn táo không ?,B-FOOD O O B-NUTRIENT O B-FOOD O O
491,Chuối có nhiều vitamin D hơn táo không?,Chuối có nhiều vitamin_D hơn táo không ?,B-FOOD O O B-NUTRIENT O B-FOOD O O
492,Chuối có nhiều vitamin B12 hơn táo không?,Chuối có nhiều vitamin_B12 hơn táo không ?,B-FOOD O O B-NUTRIENT O B-FOOD O O
493,Chuối có nhiều kali hơn sữa không?,Chuối có nhiều kali hơn sữa không ?,B-FOOD O O B-NUTRIENT O B-FOOD O O
494,Chuối có nhiều kali hơn bưởi không?,Chuối có nhiều kali hơn bưởi không ?,B-FOOD O O B-NUTRIENT O B-FOOD O O
495,Trứng gà giàu protein không?,trứng_gà giàu protein không ?,B-FOOD O B-NUTRIENT O O
496,Chuối giàu protein không?,chuối giàu protein không ?,B-FOOD O B-NUTRIENT O O
497,Đậu xanh giàu chất xơ không?,Đậu_xanh giàu chất_xơ không ?,B-FOOD O B-NUTRIENT O O
498,Đậu xanh giàu kali không?,Đậu_xanh giàu kali không ?,B-FOOD O B-NUTRIENT O O
499,Bắp cải có ít calo không?,bắp_cải có ít calo không ?,B-FOOD O O B-NUTRIENT O O
500,Ức gà có ít calo không?,ức_gà có ít calo không ?,B-FOOD O O B-NUTRIENT O O
501,Bưởi có ít chất béo không?,Bưởi có ít chất_béo không ?,B-FOOD O O B-NUTRIENT O O
502,Bưởi có ít natri không?,Bưởi có ít natri không ?,B-FOOD O O B-NUTRIENT O O
503,Hàm lượng vitamin C trong hạt điều là bao nhiêu?,Hàm_lượng vitamin_C trong hạt_điều là bao_nhiêu ?,O B-NUTRIENT O B-FOOD O O O
504,Hàm lượng kẽm trong hạt điều là bao nhiêu?,Hàm_lượng kẽm trong hạt_điều là bao_nhiêu ?,O B-NUTRIENT O B-FOOD O O O
505,Hàm lượng magiê trong cá ba sa là bao nhiêu?,Hàm_lượng magiê trong cá_ba_sa là bao_nhiêu ?,O B-NUTRIENT O B-FOOD O O O
506,Hàm lượng magiê trong rau muống là bao nhiêu?,Hàm_lượng magiê trong rau_muống là bao_nhiêu ?,O B-NUTRIENT O B-FOOD O O O
507,Cá thu có ít chất béo không?,cá_thu có ít chất_béo không ?,B-FOOD O O B-NUTRIENT O O
508,Đậu lăng có ít chất béo không?,đậu_lăng có ít chất_béo không ?,B-FOOD O O B-NUTRIENT O O
509,Cá ba sa có ít canxi không?,Cá_ba_sa có ít canxi không ?,B-FOOD O O B-NUTRIENT O O
510,Cá ba sa có ít tinh bột không?,Cá_ba_sa có ít tinh_bột không ?,B-FOOD O O B-NUTRIENT O O
511,Vitamin C trong đậu xanh có đủ cho phụ nữ mang thai không?,vitamin_C trong đậu_xanh có đủ cho phụ_nữ mang_thai không ?,B-NUTRIENT O B-FOOD O O O O O O O
512,Vitamin B12 trong đậu xanh có đủ cho phụ nữ mang thai không?,vitamin_B12 trong đậu_xanh có đủ cho phụ_nữ mang_thai không ?,B-NUTRIENT O B-FOOD O O O O O O O
513,Folate trong sữa có đủ cho phụ nữ mang thai không?,Folate trong sữa có đủ cho phụ_nữ mang_thai không ?,B-NUTRIENT O B-FOOD O O O O O O O
514,Folate trong cá thu có đủ cho phụ nữ mang thai không?,Folate trong cá_thu có đủ cho phụ_nữ mang_thai không ?,B-NUTRIENT O B-FOOD O O O O O O O
515,Bị tim mạch nên ăn gì?,Bị tim_mạch nên ăn gì ?,O B-DISEASE O O O O
516,Bị béo phì nên ăn gì?,Bị béo_phì nên ăn gì ?,O B-DISEASE O O O O
517,Người bị cholesterol cao nên kiêng gì?,Người bị cholesterol_cao nên kiêng gì ?,O O B-DISEASE O O O O
518,Người bị loãng xương nên kiêng gì?,Người bị loãng_xương nên kiêng gì ?,O O B-DISEASE O O O O
519,Huyết áp cao nên ăn gì?,huyết_áp_cao nên ăn gì ?,B-DISEASE O O O O
520,Dạ dày nên ăn gì?,dạ_dày nên ăn gì ?,B-DISEASE O O O O
521,Người bị ung thư có ăn cơm trắng được không?,Người bị ung_thư có ăn cơm_trắng được không ?,O O B-DISEASE O O B-FOOD O O O
522,Người bị gout có ăn cơm trắng được không?,Người bị gout có ăn cơm_trắng được không ?,O O B-DISEASE O O B-FOOD O O O
523,Người bị tiểu đường có ăn đậu xanh được không?,Người bị tiểu_đường có ăn đậu_xanh được không ?,O O B-DISEASE O O B-FOOD O O O
524,Người bị tiểu đường có ăn táo được không?,Người bị tiểu_đường có ăn táo được không ?,O O B-DISEASE O O B-FOOD O O O
525,Bị dạ dày nên tránh ăn gì?,Bị dạ_dày nên tránh ăn gì ?,O B-DISEASE O O O O O
526,Bị tiểu đường nên tránh ăn gì?,Bị tiểu_đường nên tránh ăn gì ?,O B-DISEASE O O O O O
527,Trứng gà có tốt cho người bị tim mạch không?,trứng_gà có tốt cho người bị tim_mạch không ?,B-FOOD O O O O O B-DISEASE O O
528,Đậu lăng có tốt cho người bị tim mạch không?,đậu_lăng có tốt cho người bị tim_mạch không ?,B-FOOD O O O O O B-DISEASE O O
529,Cá hồi có tốt cho người bị gan nhiễm mỡ không?,Cá_hồi có tốt cho người bị gan_nhiễm_mỡ không ?,B-FOOD O O O O O B-DISEASE O O
530,Cá hồi có tốt cho người bị béo phì không?,Cá_hồi có tốt cho người bị béo_phì không ?,B-FOOD O O O O O B-DISEASE O O
531,Người cholesterol cao nên ăn thực phẩm gì?,Người cholesterol_cao nên ăn thực_phẩm gì ?,O B-DISEASE O O O O O
532,Người tiểu đường nên ăn thực phẩm gì?,Người tiểu_đường nên ăn thực_phẩm gì ?,O B-DISEASE O O O O O
533,Bị béo phì có ăn tôm được không?,Bị béo_phì có ăn tôm được không ?,O B-DISEASE O O B-FOOD O O O
